14Illinois                    0610              19.1203198 601520      1Web                            Web                            Web                            Web                            Superintendent                                                     Assistant Administrator                                            Assistant Principal                                                   Assistant Administrator                                                AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA112221212C1121114233111C212222122222                                                                                                     11111111121111111111111111111111111111111111111112AAAAA111111111111CAAAAAAAAAAAA132222222222112232212221211111222A2222221221221112112222122A22221222222222AAAAAAAAAAAAAAAAAAAAA222222222222222321121112122111111111121121111111121122212111322211111222AA22AA112AAA11211222222212222211121222222221C1222122111C111222211112222222222211111411222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0491              19.1203198 626640      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Maintenance                                                            111112C2211211241111122222112112411111221C211211242332AAAAAAAAAAAAAAA                                                                                                     111111111111111111111111C1111111111111111111111112AAAA11111111111112121211222222233333111111112226222222222211212A222222222A221111111222222A22222222222222AAAAAAAAAAAAAAAAAAAAA2222222221C222232211111111111111211111111111111112111221211132223113121122131C13112112111111222212212222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0639              18.4500000 626650      3Web                            Web                            Web                                                           Principal                                                          Principal                                                          Principal                                                                                                                                    1111121222221111111222212222221212212222122222212C1331221212212222221 Uwrd bound   John Woods college                                                                     1111112AAA111111111111C111111111111111111211111122AAAA221221121111121112112C21C2233333212212212223222212112111122A222222222A222221112122222A1122122C222222AAAAAAAAAAAAAAAAAAAAA1333123332233323111C12122221211C211111112221121122122C2111123222221221232222111111C11122221222221C222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2121MMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
14Illinois                    0719              19.1203198 626640      1Web                            Web                            Web                            Web                            Principal, Georgetowne Middle School                               Principal, Georgetowne Middle School                               Principal, Georgetowne Middle School                                  Principal, Georgetowne Middle School                                   111112C2212221241111112C221221124AAAAAAAAAAAAAAAAA2221212212221222222                                                                                                     111111111111111111111111111111111C1111111111111112AAAA11111111111331111111111111222222111111111113211111111111112A121111222A211111111111111211111111111112AAAAAAAAAAAAAAAAAAAAA1111111111C1111312111C11111111111111111C1111111111111111111111111111122322A312A3112122111111111111111111111211111111111111111111222122211221C21222212211211212121111111111             412122222222                                                                                                     11222222222                                                                                                     122222222221 Ed. Adin.                                                                                           
14Illinois                    0726              19.1203198 600260      1Web                            Web                            Web                            Web                            Director of Operations                                             Director of Operations                                             Director of Operations                                                Director of Operations                                                 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA211111222211212242221111111111122222                                                                                                     21111C2AAA1111122AAAA1111111111112AAAA1111112AAAA2AAAAA111111111111CAAAAAAAAAAAAC3333311111121112231111111211111112211111111211111111111112A22222222222222AAAAAAAAAAAAAAAAAAAAA111111111111C1121111111111111111111111111111111111C122211111111111111123AA23AA331121221111112222112C2212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0879              18.4500000 617530      3Web                            Web                            Web                            Web                            Assistant Principal                                                Assistant Principal                                                Assistant Principal                                                   Assistant Principal                                                    121112122122112412111121221221124121111212212211241331112222212222122                                                                                                     11111111121111111111111111111111111111111111111112AAAA22C11111111112222221222222233333111112111332312212112111222A122222222A211111111222211211221222222222AAAAAAAAAAAAAAAAAAAAA1122222222222222211112111221111111111111112211111111112111113221112112132223111211111111122121111222111111112221111111111222111111111111111221121221121111131C222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0739              23.5000000 628890      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112122122111411121221221221114221211212212211142332AAAAAAAAAAAAAAA                                                                                                     11C11111221111122AAAA1111111111122AAAA1111222AAAA1112111111112121111222211112122223333111211112112211111122111112A122222222A211111111222112A22222222222222AAAAAAAAAAAAAAAAAAAAA12211133312333222111111112111111111111112121111111121221211131213213122322233113112222111111211112212222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0128              19.1203198 605270      1Web                            Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Paper (CMS UserID: 10)         Principal                                                          Principal                                                          Principal                                                             Principal                                                              122222122112112412222221121121124AAAAAAAAAAAAAAAAA2331112212221222222                                                                                                     111121111C11111111111111111111111111111111111111CC22CC1111111111131222222122221112222311111111333321111111112A112A12CCC21CC1111111111111112A22222222222222AAAAAAAAAAAAAAAAAAAAA2233223332233323211111111111111111111111111111111111CC11211111222211112322A211A212A222111211222212222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA122212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0777              19.1203198 626640      1Web                            Web                            Web                            Web                            Superintendent                                                     Business Manager                                                   Business Manager                                                      Assistant Superintendent                                               122212222112112411121221221121124AAAAAAAAAAAAAAAAA1221112211211121221 City                                                                                                11111111121111111111111111212112111111111111111112AAAA11111111111111111111212222133323222222213222121111211111222A222222322A211122222222222A22222222222222AAAAAAAAAAAAAAAAAAAAA12222222222222222111121111211111111111111111111111111221211111212211112222A212A32AAA22221211222212221222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22122AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0776              19.1203198 626640      1Web                                                                                                                         Administrator                                                                                                                                                                                                                                                                      AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA111111212111211142221112222211222222                                                                                                     11111211121111111111111111111111111111111111111112AAAAA1111111111112AAAAAAAAAAAA123333MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM22AA23AA13112221122222222112222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA1122MMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
14Illinois                    0794              14.7551692 616040      2Web                            Web                            Web                            Web                            Superintendent/Principal                                           Superintendent/Principal                                           Superintendent/Principal                                              Superintendent/Principal                                               222222222112112622222122221121126AAAAAAAAAAAAAAAAA2322AAAAAAAAAAAAAAA                                                                                                     1111112AAA11111111111111122112111122222AAAA22AAAA2AAAA1121111111133222221122222223333322211222AAA2322222211111222A222222222A222212111222212A22222222222222AAAAAAAAAAAAAAAAAAAAA22222222222222222112121112221111211111111121111212112221211132221111222222A333A32AAA22111211211112221222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0796              18.4500000 626650      3Web                            Web                            Web                            Web                            Operations Director                                                Operations Director                                                Superintendent                                                        Operations Director                                                    12211212211211261C211121211121126122221212211211232222AAAAAAAAAAAAAAA                                                                                                     21111111121111111111111111111111111111111111111111111211111111111111111111111111233333111111111112211111111111111122222212211111111111121111111111112211212122222222331121121121333113331133313122AAAAAAAAAAAAAAA111111112211111111122121113222322311112223333312A1111111111111111111111111111111111112111111111111111111111111112111112112121112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0797              14.7551692 616040      2Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         121112122122121412111121221221214AAAAAAAAAAAAAAAAA2321212221211122221 Secil Eduction Cooertive                                                                            11111211111111111111111111111111111111111111111112AAAA22222111221332111111212212233333222222211215312111112111222A2222221222221112112222212A11221212121122AAAAAAAAAAAAAAAAAAAAA13111131311313132212121212221111211111112122111212111221211222222213112322A333A112A211122222222212211222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0799              19.1203198 605270      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112122112112611111221221121126AAAAAAAAAAAAAAAAA233111211221122222C                                                                                                     111111112211111111111111111111111C1111111111111112AAAA111111111111122211111121121333332111112C333521111C12111111111222221222122111111112122A11221112111112AAAAAAAAAAAAAAAAAAAAA23332233322CCCCCC211121111111111111111111111111111111111111132223111121121A111A12AAA2211111121111122111111111111111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC12AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0858              19.1203198 626640      1                                                                                             Paper (CMS UserID: 15)                                                                                                                                                                                                                     SHPPS                                                                  MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0880              19.1203198 601520      1Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Principal                                                             Principal                                                              12122212211211241212222122112C124AAAAAAAAAAAAAAAAA2332AAAAAAAAAAAAAAA                                                                                                     1111111112111111C111111111111111111111111111111112AAAA11122212221312222211112222233333222221211222312211222111212A21AAA21221221211111222222A22222222222222AAAAAAAAAAAAAAAAAAAAA23332233322333222212121222222111221112112122121112111221211132222213212322A111A22AAA22211111222212222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22332AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0898              23.5000000 628890      4Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         222212122112112412222222221121124AAAAAAAAAAAAAAAAA2221222222212222222                                                                                                     11112211221111111111111111111111111111111111111112AAAA11111111221332221111112111222332111111113332511211112211122A222222222A211122222222222A22222222222222AAAAAAAAAAAAAAAAAAAAA22222222222222222112111212222111211112111122121112111221111232222212112322A311A22AAA22121111222212222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22221111121111            1012212222222                                                                                                     12212222222                                                                                                     122212222222                                                                                                     
14Illinois                    0934              14.7551692 626810      2Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         122222122122112412222121221121124122221212211211242332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111111221111111121233333111112211332322111111111212A1222221121111111112222211121222222111222AAAAAAAAAAAAAAAAAAAAA23332233322333232111111111111111111111111111111111112221111131111111112222211111112121111221211212211212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0948              19.1203198 612820      1Web                            Web                            Web                            Web                            Principal                                                          Head Custodian                                                     Counselor                                                             Principal                                                              121112122122112412121221221221124AAAAAAAAAAAAAAAAA2221111212212112222                                                                                                     11111111111111111111122222211111111111111111111112AAAA1111111211131222121122222222333311111111122252221121211C112AC211111221111111111112111211221122111111113213331222211123313113311F3111F21111111121212212111211111212112121112111121111132222113222322A311A312A2221112222222111111112211222112111111111111311111111112122222222122211113122212AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0967              19.1203198 626640      1Web                            Web                            Web                            Web                            Superintendent                                                     Superintendent                                                     Superintendent                                                        Superintendent                                                         111112122112111411111121221121114AAAAAAAAAAAAAAAAA1332AAAAAAAAAAAAAAA                                                                                                     111112112211111111111111111111111111111C1111111122AAAA11111111111312222211111112222223222222111231211112111111222A222222222A211111111222112A2222222212222121333333133111311111312222122222222222211121111111111111111111111111112112221211132223213122322A211A12AAA22111211222212221212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0986              19.1203198 625630      1Web                            Web                            N/A                            N/A                            Prevention Coordinator                                             Prevention Coordinator                                             Safety and Security Manager                                           Safety and Security Manager                                            121112122112112311111121211121113111111212111211131111112211111112222                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111311222211121122223323111112213333311111111111112A121111222A211111111122122A212222221C2212AAAAAAAAAAAAAAAAAAAAA13222122221111111CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC2322211113112221111111211112222222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA2222CCCCCCCCCC             CCCCCCCCCCCC                                                                                                     CCCCCCCCCCC                                                                                                     CCCCCCCCCCCC                                                                                                     
14Illinois                    0219              19.1203198 604770      1Web                            Web                            Web                            Web                            Superintendent                                                     Director of Buildings/Grounds                                      Superintendent                                                        Assistant Superintendent                                               221112121112112422111121211121124AAAAAAAAAAAAAAAAA1221112222211222222                                                                                                     11111111111111111111111111111111111111111111111112AAAA11111111111111111111111111132223111111111112211111112111111122222111211111111111111111112111111111212332233322331133221131111C11111111111111C112111111111111111111111111111111221211221222121111122A111A1112222111111222212222211121121111212211111121111111122211112222222222211121512112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    1077              18.4500000 626650      3Web                            Web                            Web                            Web                            Principal                                                          Principal                                                          Principal                                                             Principal                                                              1211121222222122121212212222C2122121222212222221221332AAAAAAAAAAAAAAA                                                                                                     11111111111111111111111111111111111111112121112122AAAA21121111111112211211112122223333111112211222222212222111222A222222222A211111111122121211221C22121212AAAAAAAAAAAAAAAAAAAAA111211F1111F11112111121222211111111C111111211111211122212111311C3223221222231113112111111111211112212221211122222111122211121211312222221221122222C222C121232C322AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    0494              19.1203198 605040      1Web                            Web                            Web                            Web                            SHPPS                                                              SHPPS                                                              SHPPS                                                                 SHPPS                                                                  111212121122212411121221211122114111211212111221142332AAAAAAAAAAAAAAA                                                                                                     1111112AAA2AAAA22AAAA2222222AAAA22AAAA2AAAA22AAAA2AAAA1111111111111122221111221212333311111111133321111111112A11122222221121221112111122112A22222222222222AAAAAAAAAAAAAAAAAAAAA2222222222222222111111111111111121111111111111111212222CCCCCCCCCCCC11122222211131122CC111112221122221212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    1145              18.4500000 624650      3                                                                                             Paper (CMS UserID: 16)                                                                                                                                                                                                                     SHPPS                                                                  MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM2AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
14Illinois                    1155              14.7551692 620950      2                                                              Web                                                                                                                                                                                                 Superintendent                                                                                                                               MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM                                                                                                     MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM21111111222211111111121212211111112222121113222311222MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM             MMMMMMMMMMMM                                                                                                     MMMMMMMMMMM                                                                                                     MMMMMMMMMMMM                                                                                                     
14Illinois                    1165              19.1203198 605450      1N/A                            N/A                            Web                            Web                            Superintendent                                                     Director of Building and Grounds                                   Assistant Superintendent                                              Assistant Superintendent                                               CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC                                                                                                     CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC11111111111111111111111111111111111122121121221211112CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC12AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
15Indiana                     0228              19.1203198 478420      1Web                            Web                            Web                            Web                            Superintendent                                                     Business Manager                                                   Superintendent                                                        Superintendent                                                         1112121211221126121211212112211211212112C2112211262331112221211112221 Chrtwells, Foodservice                                                                              11111111111111111111111111111111111111112121112121112121112111221111211211122222132333111111112226212111112111222A2222221112211112221212111222222222222222AAAAAAAAAAAAAAAAAAAAA2222122222222223111112111121111111111211111111111111122121113111111111222222111112A122111111111111111111111111111111111111111111111112211111111211111111111511121111111111            1212212222222                                                                                                     2AAAAAAAAAA                                                                                                     122122222221 Gifted Eduction                                                                                     
15Indiana                     0422              19.1203198 475860      1Web                            Web                            Web                            Web                            Asst. Superintendent                                               Asst. Superintendent                                               Asst. Superintendent                                                  Asst. Superintendent                                                   122222121112122312221121211121113122211212111211132221112212111122121 olice, fire, EMS                                                                                    1111111111111111111111111111111111111111111111111121221111111111111222222122222222232322221222AAA231211111111111112222221111211122222112112AC2222222222122AAAAAAAAAAAAAAAAAAAAA22222222222222222111111111111111111111111111111111111121111131C11111112222221112112212111222222211212222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA22222AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
15Indiana                     0541              19.1203198 463500      1Web                            Web                            Web                            Web                            Director of Facilities                                             Director of Facilities                                             Director of Facilities                                                Director of Facilities                                                 111112221112111511111121211121115111111222111211152221112112211122122                                                                                                     11111111111111111111111112111111111111111111111111112211111111111111111111111112222233111111111222211111111111111111AAA21111211111111111112A212112211211213133233211221112112221311113111131111211111111111111111111111111111111111222121112111121311232221222112A2221111112111122112111111222111111111121111221121122111122212112222212213221112AAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
15Indiana                     0577              19.1203198 474410      1Web                            Web                            Web                            Web                            Superintendent                                                     Head Maintenance                                                   Superintendent                                                        Nurse                                                                  111112122112111111111121221121111111111212211211111331111111221222212                                                                                                     11111111111111111111111111111111111111111111111111111211111111111112111111111111211112222222212227222222222111222A222222222A222222222222222A22222222222222AAAAAAAAAAAAAAAAAAAAA122212222122222321111111111111111111111111111111111111111111311111111122222222222AAA1111121121111111221F111122211112211111221C111111111111111111111111111113111211121111F1            1612222122222                                                                                                     12222222221 sychology                                                                                           2AAAAAAAAAAA                                                                                                     
15Indiana                     0711              18.4500000 467330      3Web                            Web                            Web                            Web                            Safe Schools Director                                              Teacher                                                            Buildings and Grounds                                                 Safe Schools Director                                                  111112111112111611111121111121116111111211111211161331112121221222222                                                                                                     111111122211111111111C2222211111111111111111111112AAAA111111111111121111111C1111C222221111111111322111111111111111121C11111C121111111111111111221222111112AAAAAAAAAAAAAAAAAAAAA13111131111311111111111211111111111112211111111111112221211131111211111222221112112122111211111111221111111111111111111111111111111212211C11111121212111C11522112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
15Indiana                     0717              19.1203198 478420      1Web                            Web                            Web                            Web                            Principal / Safety Specialist                                      Principal / Safety Specialist                                      Principal / Safety Specialist                                         Principal / Safety Specialist                                          1211121211121126121111212111111161211112121111111623312222C2222222221 Red Cross                                                                                           11C111111111111111111111111C1111111111111111111111111111111111111111221111111121223333111111111112211111111111111111AAA1222A111111111111C111111C1112211112AAAAAAAAAAAAAAAAAAAAA111111C111111111111111111111C111111111111111111111111211111131113111112222221112112122111211211112211211111111111111111111111111111111111112212222222211111311112AAAAAAAAA             AAAAAAAAAAAA                                                                                                     AAAAAAAAAAA                                                                                                     AAAAAAAAAAAA                                                                                                     
15Indiana                     0507              18.4500000 465740      3Web                            Paper (CMS UserID: 12)         Web                            Web                            Principal                                                          Maintenance Director                                               Superintendent                                                        Principal                                                              111112221112112611111122211121126111111222111211261331112211211222222                                                                                                     111121112211111111111111111111111111111111211111211112211111111111122211112221122222221111111122212111221111111111222222222A221222222112122A11111111111112AAAAAAAAAAAAAAAAAAAAA13321133211332131111111211CCC1C111111111CC1111CC111CCCC1CCCCCCCCCC1C1C2222221122111121111211211122222212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA12111111111111            1212222222221 Eleentry Eduction                                                                                   2AAAAAAAAAA                                                                                                     122222222221 Adinistrtion                                                                                        
